MONUMENT_RECORD_NO,LATITUDE,LONGITUDE
842M,51.452376,-2.5926823
843M,51.451873,-2.5925319
844M,51.453204,-2.5925203
845M,51.453165,-2.5932394
847M,51.450305,-2.5969007
849M,51.446641,-2.5888955
693M,51.454878,-2.5941251
1598M,51.459459,-2.5896795
1599M,51.45963,-2.5896097
1600M,51.459685,-2.5894665
1601M,51.459721,-2.5893662
1602M,51.459748,-2.589309
1603M,51.459723,-2.5890927
971M,51.450454,-2.5923408
972M,51.450993,-2.5923766
973M,51.451209,-2.5923937
974M,51.455228,-2.5869768
975M,51.454377,-2.5864909
976M,51.451134,-2.5786063
995M,51.449315,-2.5863397
996M,51.450998,-2.5878723
1095M,51.450216,-2.5984825
1026M,51.448269,-2.5921974
341M,51.454927,-2.5933342
1442M,51.446371,-2.6203042
709M,51.459145,-2.5949002
70M,51.455389,-2.5943764
710M,51.458561,-2.5947775
712M,51.45742,-2.5946331
713M,51.457465,-2.594461
796M,51.451385,-2.600196
797M,51.447977,-2.5896466
385M,51.456274,-2.5936395
386M,51.456435,-2.5936704
387M,51.456435,-2.5936704
38M,51.446872,-2.5910857
390M,51.456274,-2.5934956
392M,51.457175,-2.5932914
395M,51.454787,-2.5942967
992M,51.452896,-2.5894222
993M,51.45212,-2.5881889
994M,51.44945,-2.5864133
752M,51.446146,-2.6168477
287M,51.453369,-2.5883921
288M,51.452526,-2.5878631
289M,51.452544,-2.5878778
343M,51.454654,-2.5939063
1424M,51.453687,-2.585892
771M,51.46159,-2.587922
1431M,51.45672,-2.5762302
1447M,51.45707,-2.5782496
493M,51.455157,-2.5904444
494M,51.455093,-2.590645
495M,51.459071,-2.5916608
497M,51.455487,-2.5962199
499M,51.457073,-2.595521
49M,51.455956,-2.5888571
4M,51.454642,-2.592798
500M,51.457073,-2.595521
501M,51.455808,-2.5985413
1170M,51.450461,-2.5855916
1276M,51.454226,-2.5770479
1278M,51.453828,-2.5791872
1279M,51.454518,-2.5797716
1280M,51.454865,-2.5803949
1281M,51.45175,-2.6008484
1029M,51.455776,-2.6029881
1143M,51.456239,-2.5987053
1161M,51.450185,-2.5867969
1162M,51.450215,-2.5879917
1428M,51.450963,-2.5786041
1429M,51.450581,-2.5776207
1432M,51.45669,-2.5769494
1434M,51.456745,-2.5767342
1436M,51.457337,-2.5752592
941M,51.456649,-2.5959616
1034M,51.457733,-2.6019201
1678M,51.45328,-2.6110865
1680M,51.453406,-2.6110882
1167M,51.450039,-2.5853848
1168M,51.451542,-2.5851018
1169M,51.450284,-2.5868414
1171M,51.461415,-2.59041
1172M,51.463296,-2.5900312
282M,51.446881,-2.593014
285M,51.453039,-2.5879129
1189M,51.456207,-2.5925448
773M,51.448033,-2.5961948
775M,51.448173,-2.5951893
777M,51.448806,-2.6170994
1090M,51.452555,-2.5965271
607M,51.456358,-2.5966199
1574M,51.458493,-2.5957266
820M,51.45865,-2.5914538
1315M,51.458309,-2.5821658
1316M,51.458555,-2.5816508
1317M,51.458745,-2.5814085
1318M,51.45756,-2.5772626
1319M,51.457004,-2.5807531
1340M,51.460481,-2.5974221
1341M,51.460593,-2.5982441
325M,51.453839,-2.5931906
1132M,51.456581,-2.5826044
326M,51.453799,-2.5941255
327M,51.452589,-2.5933039
328M,51.453719,-2.592124
1455M,51.4563,-2.5812047
1456M,51.45095,-2.6025648
69M,51.454705,-2.5979944
770M,51.446387,-2.5963028
1354M,51.450583,-2.6211672
1357M,51.45365,-2.6020966
1358M,51.450572,-2.5830747
1084M,51.459372,-2.5836762
1359M,51.457705,-2.5879873
1438M,51.463,-2.584687
1479M,51.460474,-2.5915494
1480M,51.460699,-2.591653
1495M,51.462008,-2.5870206
1534M,51.449116,-2.5866681
1536M,51.464074,-2.5891344
1030M,51.453952,-2.5868021
1031M,51.457464,-2.5964616
1032M,51.453246,-2.6002348
1085M,51.459434,-2.5838785
731M,51.458198,-2.5953197
732M,51.456443,-2.5886763
733M,51.457268,-2.5854053
903M,51.454124,-2.6025346
1123M,51.452299,-2.5866513
1125M,51.451634,-2.6006741
1127M,51.450285,-2.5902232
1128M,51.45032,-2.5902812
1129M,51.454819,-2.5914331
1131M,51.44923,-2.5780929
1086M,51.459042,-2.5849386
1087M,51.458809,-2.5847054
1088M,51.458718,-2.5849345
1089M,51.459297,-2.593247
1121M,51.454735,-2.5955625
1164M,51.450691,-2.5880122
1165M,51.453466,-2.5993454
1166M,51.450688,-2.5869617
250M,51.457409,-2.5914234
1267M,51.456244,-2.5780376
1268M,51.453851,-2.5854623
1174M,51.456546,-2.591441
1269M,51.452166,-2.596853
1270M,51.458043,-2.5760021
1271M,51.458214,-2.5759755
1272M,51.457894,-2.5770654
1273M,51.455667,-2.578275
1274M,51.455987,-2.577286
1275M,51.455287,-2.5770037
1036M,51.455038,-2.5873485
