MONUMENT_RECORD_NO,LATITUDE,LONGITUDE
1324M,51.45756,-2.5792057
639M,51.453663,-2.585388
640M,51.453808,-2.5850588
1418M,51.451111,-2.5832255
1419M,51.45017,-2.6091742
1420M,51.450189,-2.6089586
1422M,51.4553,-2.5888774
942M,51.457969,-2.5963099
944M,51.459031,-2.5816424
945M,51.458212,-2.5835895
1151M,51.450332,-2.5843956
1616M,51.463928,-2.5895212
1617M,51.446729,-2.6136611
1618M,51.449659,-2.615787
1619M,51.448783,-2.6163508
1584M,51.459689,-2.5903301
1585M,51.4596,-2.590257
1626M,51.453515,-2.5843211
1627M,51.453966,-2.5840678
1628M,51.453942,-2.5834774
1629M,51.449034,-2.5849114
1630M,51.448659,-2.5844749
1631M,51.448131,-2.5856769
1632M,51.448576,-2.5867043
1633M,51.447236,-2.5885147
1634M,51.447292,-2.5917243
1635M,51.449604,-2.5913656
1636M,51.450602,-2.5914073
1637M,51.45032,-2.6010454
1638M,51.457401,-2.5930497
1639M,51.457628,-2.5926496
734M,51.455507,-2.5851381
88M,51.458079,-2.6011042
890M,51.455589,-2.5920907
891M,51.456237,-2.5920271
892M,51.456192,-2.5920553
1145M,51.451923,-2.5843727
1146M,51.451434,-2.5834167
1147M,51.452108,-2.5834396
1149M,51.45164,-2.5835344
1150M,51.450488,-2.583678
1152M,51.450378,-2.5841083
1153M,51.450205,-2.5845522
1154M,51.450674,-2.584256
1155M,51.450864,-2.5839706
417M,51.45225,-2.598063
419M,51.454281,-2.5982767
421M,51.453273,-2.6002207
608M,51.44961,-2.597309
60M,51.452252,-2.599459
474M,51.455389,-2.5871515
425M,51.458938,-2.6001511
427M,51.455888,-2.5988158
1657M,51.460774,-2.5928055
1658M,51.460729,-2.5928625
1659M,51.460701,-2.5929053
1660M,51.460674,-2.5929769
1360M,51.45547,-2.5943199
1362M,51.459444,-2.5782796
471M,51.455374,-2.5902888
473M,51.455381,-2.5870075
5412M,51.457243,-2.5922848
475M,51.454257,-2.5851509
478M,51.454206,-2.5864167
479M,51.452539,-2.5818045
47M,51.457515,-2.6042057
480M,51.452335,-2.5812407
481M,51.451989,-2.5802721
483M,51.455582,-2.5827931
484M,51.455609,-2.5826927
485M,51.456745,-2.5784613
37M,51.455132,-2.5917537
380M,51.455472,-2.593917
5413M,51.456893,-2.5921363
381M,51.45539,-2.5941318
398M,51.454848,-2.5946141
399M,51.45491,-2.594802
3M,51.454303,-2.5921316
401M,51.453935,-2.593897
402M,51.451561,-2.59555
404M,51.45156,-2.5958378
405M,51.452663,-2.5963271
5364M,51.459103,-2.5942088
1571M,51.457717,-2.5962202
1573M,51.458029,-2.5949721
832M,51.458214,-2.5903975
833M,51.458251,-2.590326
834M,51.456579,-2.5990407
835M,51.454683,-2.5918055
836M,51.455146,-2.5909048
1225M,51.448559,-2.6077281
1226M,51.448089,-2.6081392
895M,51.457257,-2.5929327
407M,51.448974,-2.5968402
896M,51.447174,-2.6007883
897M,51.449491,-2.597696
898M,51.450397,-2.6000391
89M,51.448314,-2.599393
8M,51.455959,-2.5864392
900M,51.450943,-2.6057019
1133M,51.456644,-2.5826339
1135M,51.460072,-2.6017493
1136M,51.455906,-2.6005
1137M,51.456351,-2.6014269
1138M,51.455542,-2.5818283
1044M,51.462039,-2.6038912
1139M,51.450967,-2.6009532
1141M,51.460911,-2.5975861
1379M,51.450218,-2.6085992
1380M,51.461856,-2.5975697
1381M,51.461816,-2.5982601
1382M,51.462085,-2.6000917
1384M,51.453543,-2.5823498
1385M,51.453437,-2.5819455
1386M,51.453254,-2.582562
1387M,51.453141,-2.5818554
5365M,51.459045,-2.5933013
409M,51.453384,-2.5961493
40M,51.455207,-2.6052834
410M,51.452797,-2.5966166
412M,51.452753,-2.5963282
414M,51.45204,-2.5987654
416M,51.452303,-2.5982796
910M,51.451783,-2.587206
911M,51.451757,-2.5871481
914M,51.456751,-2.5791954
5366M,51.459387,-2.5932769
915M,51.456769,-2.5791093
917M,51.453985,-2.5874933
918M,51.457423,-2.5939711
919M,51.449639,-2.624493
920M,51.44804,-2.624356
921M,51.456209,-2.5869318
1263M,51.449278,-2.6007152
1265M,51.456387,-2.5781834
1266M,51.457691,-2.5764007
5367M,51.459265,-2.5941533
527M,51.454286,-2.5920738
528M,51.455409,-2.5921459
529M,51.457297,-2.5886441
52M,51.454576,-2.5968125
429M,51.456963,-2.5977792
466M,51.45571,-2.589444
467M,51.455729,-2.5893867
468M,51.455667,-2.5891556
486M,51.456782,-2.5782891
487M,51.45681,-2.5781743
5368M,51.459387,-2.5950761
488M,51.456855,-2.578031
489M,51.454621,-2.5915312
506M,51.456037,-2.585332
507M,51.452831,-2.5968905
508M,51.457943,-2.6013615
509M,51.453038,-2.6004191
510M,51.451831,-2.6008926
512M,51.451047,-2.6082504
513M,51.451119,-2.6082082
1043M,51.451438,-2.6072483
1045M,51.454821,-2.5874321
1046M,51.454792,-2.5984848
1047M,51.455283,-2.5939721
1048M,51.446641,-2.5889099
642M,51.454419,-2.5994874
643M,51.454428,-2.5994443
644M,51.454464,-2.5994016
645M,51.454491,-2.5993156
646M,51.449648,-2.5898408
647M,51.452161,-2.5889953
5370M,51.459673,-2.5936549
648M,51.452116,-2.588966
64M,51.44693,-2.5939068
651M,51.455922,-2.5921525
652M,51.455905,-2.5919652
655M,51.456727,-2.5784755
656M,51.456325,-2.5887755
657M,51.456343,-2.588747
658M,51.456362,-2.5886321
1282M,51.449881,-2.6058893
1283M,51.454388,-2.5931257
909M,51.451971,-2.5873667
1285M,51.454128,-2.5930216
1286M,51.449711,-2.5897985
694M,51.452397,-2.6008856
697M,51.456871,-2.5963819
698M,51.450094,-2.6065109
699M,51.451488,-2.5869863
905M,51.456387,-2.6049104
907M,51.455497,-2.6013006
5076M,51.45876,-2.5855108
90M,51.457572,-2.5858122
1222M,51.462323,-2.6045427
1223M,51.449448,-2.5885719
1402M,51.449908,-2.6127683
1469M,51.461092,-2.5921907
1470M,51.451256,-2.5936896
1472M,51.449508,-2.5909039
1320M,51.449196,-2.5832154
5093M,51.459678,-2.5782393
1474M,51.460365,-2.5918214
531M,51.452935,-2.6029507
566M,51.45629,-2.5814205
568M,51.456309,-2.5812624
569M,51.456104,-2.5807848
571M,51.455886,-2.5813721
572M,51.455867,-2.5814727
573M,51.455858,-2.5815445
574M,51.455839,-2.5816306
575M,51.455646,-2.5825205
576M,51.45426,-2.5987945
577M,51.454287,-2.5988668
1163M,51.44979,-2.5866623
5094M,51.459567,-2.5788281
1325M,51.457677,-2.5808912
1326M,51.456415,-2.5779534
1327M,51.456603,-2.5782293
1328M,51.448718,-2.5815689
1329M,51.44823,-2.5821383
1330M,51.4491,-2.5843798
1331M,51.450673,-2.5845007
1333M,51.455841,-2.5919932
1334M,51.455796,-2.592007
1336M,51.455715,-2.5920347
1338M,51.455625,-2.592048
1339M,51.460718,-2.5967631
469M,51.455182,-2.5925603
1289M,51.44821,-2.5897647
1290M,51.452168,-2.5910966
1293M,51.458082,-2.5881216
1294M,51.4581,-2.5880499
1296M,51.456886,-2.5862496
1298M,51.457373,-2.5842264
660M,51.448633,-2.586
1299M,51.456791,-2.5838448
1300M,51.456881,-2.5836732
518M,51.451521,-2.6016225
519M,51.462481,-2.6036955
520M,51.451591,-2.6020695
592M,51.454974,-2.5964291
593M,51.454832,-2.5960243
594M,51.460437,-2.5883534
595M,51.456252,-2.5978851
598M,51.448828,-2.6232875
610M,51.447639,-2.5942758
612M,51.455901,-2.5891299
613M,51.455856,-2.5891437
614M,51.457458,-2.5924747
615M,51.45042,-2.588311
618M,51.45815,-2.604689
619M,51.453422,-2.5974883
61M,51.453982,-2.6004027
620M,51.453739,-2.5970607
621M,51.446962,-2.5947418
622M,51.453873,-2.5936372
659M,51.456371,-2.5886178
65M,51.45582,-2.589172
5095M,51.459441,-2.5788409
661M,51.452822,-2.5862983
662M,51.451103,-2.5884637
664M,51.451022,-2.5884338
665M,51.450986,-2.5884334
683M,51.45407,-2.5920566
684M,51.455238,-2.5922013
523M,51.446678,-2.6009832
524M,51.446808,-2.6019634
5096M,51.459422,-2.578927
525M,51.452415,-2.5973744
1221M,51.458128,-2.5824513
2414M,51.472399,-2.6086929
2415M,51.433741,-2.5530392
2881M,51.462041,-2.5693159
2882M,51.459915,-2.5756227
2883M,51.481669,-2.5545119
2885M,51.406929,-2.571722
2886M,51.466847,-2.5646827
2736M,51.442457,-2.5929711
5102M,51.459147,-2.5764622
2737M,51.471371,-2.5953473
2738M,51.468038,-2.5965275
2739M,51.467833,-2.5979357
3058M,51.496713,-2.6156
3059M,51.467566,-2.5379293
3060M,51.459061,-2.5570157
3061M,51.420475,-2.606435
3062M,51.441157,-2.6081046
3063M,51.480715,-2.6476267
3065M,51.460605,-2.5344792
5485M,51.456633,-2.6077778
5353M,51.462445,-2.5912438
5354M,51.463584,-2.5918487
5358M,51.46345,-2.5899756
5359M,51.46381,-2.5898651
5360M,51.463642,-2.5893303
5363M,51.458996,-2.5940203
123M,51.456166,-2.5828437
1027M,51.45294,-2.5789169
276M,51.452216,-2.588809
2086M,51.489867,-2.5256611
1893M,51.459473,-2.5439082
1894M,51.471234,-2.5517506
1895M,51.477789,-2.5321459
5103M,51.458752,-2.5762126
1790M,51.443755,-2.5798079
1792M,51.454972,-2.6278328
1793M,51.456571,-2.6264011
1794M,51.470155,-2.6384503
5436M,51.457709,-2.5888797
5465M,51.460473,-2.5953925
5511M,51.453136,-2.6023345
3244M,51.470023,-2.5754908
5002M,51.467034,-2.5871139
5016M,51.465758,-2.5740839
5036M,51.46458,-2.570456
5057M,51.463492,-2.5704136
5079M,51.458734,-2.5836537
5101M,51.459977,-2.575897
3185M,51.498649,-2.6939944
3188M,51.489147,-2.5157148
3189M,51.442718,-2.6206864
3190M,51.460146,-2.621988
3193M,51.435322,-2.6078689
2329M,51.454836,-2.6109921
2330M,51.454624,-2.6101402
2331M,51.45434,-2.6145979
5077M,51.459252,-2.5861504
5078M,51.459135,-2.5843209
5082M,51.460167,-2.5828803
5083M,51.460431,-2.5823079
5084M,51.460372,-2.5833291
5085M,51.460853,-2.5823709
5087M,51.459016,-2.5810953
5088M,51.458785,-2.5804878
5089M,51.458755,-2.5794511
5091M,51.461469,-2.5797158
5092M,51.460932,-2.5791188
2307M,51.447109,-2.5760084
2308M,51.444543,-2.5676306
2087M,51.464196,-2.6262752
2088M,51.443276,-2.599845
2090M,51.44189,-2.5602454
2091M,51.528875,-2.6854011
2092M,51.522483,-2.6648812
2094M,51.52479,-2.6608356
3135M,51.474166,-2.530016
3136M,51.459019,-2.5332516
3137M,51.460797,-2.5736906
2353M,51.482716,-2.6434788
2352M,51.460878,-2.6110441
5117M,51.455858,-2.5868553
5132M,51.455759,-2.5852277
5147M,51.458034,-2.5815722
5166M,51.457399,-2.5789302
5183M,51.457533,-2.5754776
5196M,51.458317,-2.5713998
5219M,51.454893,-2.5839069
5240M,51.455027,-2.582196
5258M,51.453073,-2.575551
3139M,51.460598,-2.5740192
3140M,51.440591,-2.6010184
3141M,51.476084,-2.6107722
3142M,51.476479,-2.6109502
1974M,51.410537,-2.5693228
1975M,51.440115,-2.5883943
1976M,51.428361,-2.6011887
2286M,51.492794,-2.6287846
2283M,51.477533,-2.6457529
2333M,51.49876,-2.6638588
2334M,51.456581,-2.6143545
2335M,51.466159,-2.5911047
2770M,51.488009,-2.5893709
2772M,51.488935,-2.5893109
2773M,51.486812,-2.591343
2774M,51.488159,-2.589949
2775M,51.488398,-2.5924005
2755M,51.467968,-2.613543
1778M,51.424652,-2.5861533
1779M,51.467813,-2.6225817
2309M,51.445143,-2.5624148
2310M,51.442486,-2.5616052
2311M,51.44518,-2.5659549
2312M,51.446207,-2.5655504
2313M,51.440999,-2.5602489
2314M,51.504826,-2.7075165
2315M,51.478134,-2.5603727
2316M,51.487029,-2.5466557
2318M,51.452567,-2.5497553
2319M,51.453519,-2.5480973
2887M,51.503587,-2.6043396
2888M,51.504682,-2.604599
2889M,51.440773,-2.604071
2890M,51.443476,-2.616711
2891M,51.440497,-2.6016934
2892M,51.440415,-2.6018793
2893M,51.440839,-2.6016835
2894M,51.473242,-2.5987119
2895M,51.47248,-2.5982844
2896M,51.473247,-2.5976898
2679M,51.440276,-2.6009855
2284M,51.479253,-2.6452444
2285M,51.479088,-2.6475605
2288M,51.45106,-2.5567312
2290M,51.449665,-2.5607867
2291M,51.451005,-2.5625876
2294M,51.449233,-2.5719627
2295M,51.449657,-2.567953
2296M,51.449288,-2.5699343
705M,51.457655,-2.5943339
706M,51.457691,-2.5942193
708M,51.457002,-2.5918211
802M,51.457537,-2.5928643
1780M,51.457001,-2.6266085
2229M,51.433538,-2.5999332
1783M,51.463338,-2.5145313
1784M,51.471618,-2.6171625
1786M,51.451943,-2.6138749
1787M,51.439945,-2.6111818
3034M,51.468295,-2.5379378
3035M,51.479069,-2.6143112
3036M,51.492776,-2.6170882
3037M,51.492849,-2.6151734
1741M,51.480696,-2.6494697
1742M,51.48984,-2.6560091
2230M,51.456549,-2.627178
1744M,51.495406,-2.6590852
1745M,51.494577,-2.6611187
1747M,51.496427,-2.6534819
1076M,51.460861,-2.5896831
1077M,51.460883,-2.5889205
1078M,51.461254,-2.5902064
1079M,51.460402,-2.58985
1080M,51.460227,-2.5817152
1081M,51.460061,-2.5824904
1082M,51.460731,-2.5815201
1083M,51.460683,-2.5823111
1173M,51.463333,-2.5899885
2681M,51.480216,-2.5923376
2682M,51.420511,-2.6319767
2227M,51.437636,-2.5984763
2228M,51.436874,-2.5981786
2232M,51.466775,-2.5666828
2233M,51.523947,-2.6824443
2468M,51.473732,-2.6254987
2469M,51.473326,-2.6256084
2471M,51.471912,-2.6124873
2472M,51.440149,-2.5976747
803M,51.453212,-2.6016735
804M,51.453357,-2.6012868
1307M,51.455168,-2.5845581
1308M,51.447944,-2.5854299
1309M,51.44784,-2.5845508
5414M,51.45724,-2.5909894
1310M,51.447789,-2.5876728
1311M,51.44789,-2.587228
1312M,51.449455,-2.5871905
1797M,51.477425,-2.5695795
1798M,51.480071,-2.5671501
1799M,51.475117,-2.5743743
3038M,51.440565,-2.5738686
3039M,51.459596,-2.550286
3040M,51.459705,-2.5502297
3041M,51.459757,-2.5505758
3042M,51.459725,-2.5498125
5415M,51.45767,-2.5914267
3043M,51.500142,-2.698339
3044M,51.46637,-2.5758479
3045M,51.467026,-2.5759713
3047M,51.478578,-2.5347758
3194M,51.442379,-2.5743374
3068M,51.460559,-2.534709
3069M,51.441232,-2.5660788
3070M,51.493032,-2.6412618
3071M,51.455285,-2.6145674
3073M,51.490726,-2.6663059
3074M,51.439747,-2.571988
3075M,51.500902,-2.5930669
5416M,51.457992,-2.5917763
3076M,51.409367,-2.6276247
3077M,51.442475,-2.6069855
3078M,51.481541,-2.5374601
3079M,51.481454,-2.5369551
3080M,51.48124,-2.5365926
2473M,51.51318,-2.6284601
2474M,51.508979,-2.6169325
2475M,51.464695,-2.5962536
337M,51.454386,-2.5934711
338M,51.454447,-2.5939612
3196M,51.495584,-2.6594335
1801M,51.490982,-2.5567854
1803M,51.488069,-2.5256404
1804M,51.481601,-2.5630073
1807M,51.465782,-2.569233
1808M,51.458043,-2.5723607
1809M,51.459675,-2.5508627
3143M,51.475488,-2.612996
3144M,51.462406,-2.6093659
3145M,51.461905,-2.6088986
3197M,51.506,-2.677796
3199M,51.482605,-2.5328788
3213M,51.446687,-2.5938749
3224M,51.468815,-2.5162197
3225M,51.451165,-2.6062517
3226M,51.419997,-2.6015103
3227M,51.508003,-2.6058389
3228M,51.476227,-2.5587655
3229M,51.458345,-2.5912052
1986M,51.452883,-2.5514285
1987M,51.445201,-2.5654228
1842M,51.4622,-2.5195853
1843M,51.455637,-2.5393002
5408M,51.456525,-2.592002
5409M,51.456598,-2.5917151
5417M,51.458029,-2.5915753
5418M,51.458229,-2.5909878
5420M,51.458434,-2.5896375
5422M,51.458066,-2.5895607
5423M,51.458182,-2.5896198
5424M,51.457895,-2.5896017
5425M,51.457643,-2.589656
5426M,51.457671,-2.5894693
5427M,51.456913,-2.5898194
5430M,51.455941,-2.5899939
5431M,51.455834,-2.5899062
5432M,51.456127,-2.5888161
5433M,51.45667,-2.5881755
5434M,51.457019,-2.588439
5435M,51.457612,-2.5885474
5437M,51.458108,-2.588381
5438M,51.458195,-2.5887996
5439M,51.458386,-2.5884998
2354M,51.44678,-2.624454
2356M,51.457075,-2.6178155
2358M,51.423511,-2.5714544
5139M,51.456509,-2.5844025
2359M,51.423546,-2.5733533
2360M,51.485457,-2.66777
2361M,51.419128,-2.562915
2362M,51.423369,-2.5653258
2363M,51.47261,-2.6198971
2364M,51.471437,-2.617376
2834M,51.438712,-2.602677
3146M,51.456774,-2.5613632
3149M,51.502751,-2.6332726
3150M,51.502792,-2.6322215
5141M,51.458208,-2.5844386
5142M,51.45809,-2.5847394
3152M,51.500931,-2.625511
3153M,51.505612,-2.6313096
3155M,51.460857,-2.6253226
3156M,51.432875,-2.6064842
2297M,51.449308,-2.5713304
2298M,51.448791,-2.5685898
2299M,51.447615,-2.5755687
2300M,51.447681,-2.5786633
1988M,51.444897,-2.5668723
1989M,51.443719,-2.5725268
1990M,51.444232,-2.5705188
1991M,51.442791,-2.5728174
1992M,51.446827,-2.576825
1993M,51.447976,-2.5771561
1995M,51.45609,-2.6288988
1996M,51.467581,-2.632224
1997M,51.451439,-2.6242297
1998M,51.445369,-2.6159739
2302M,51.449703,-2.5734364
2303M,51.449059,-2.5725505
2304M,51.450869,-2.5683566
2305M,51.447473,-2.5734516
2306M,51.446662,-2.5736429
5124M,51.458067,-2.5874162
5125M,51.458221,-2.5872742
5126M,51.457926,-2.5851259
5127M,51.457764,-2.5850806
5128M,51.457792,-2.5848651
5129M,51.456541,-2.5852233
5130M,51.456138,-2.5848583
5133M,51.455896,-2.5846681
5134M,51.455764,-2.5841052
5135M,51.456267,-2.5842267
5136M,51.455839,-2.5834872
5137M,51.455858,-2.5834155
5138M,51.456386,-2.5838108
5143M,51.458495,-2.5846006
5144M,51.45684,-2.583025
5145M,51.456213,-2.5824845
5146M,51.458404,-2.581289
5148M,51.456857,-2.5813989
5150M,51.455915,-2.580912
5154M,51.457161,-2.5798627
5155M,51.457318,-2.5807715
5158M,51.458455,-2.5801094
2569M,51.485373,-2.5450517
2570M,51.484596,-2.5478219
2571M,51.485731,-2.5414987
2835M,51.42021,-2.6125867
2683M,51.420694,-2.6315047
2684M,51.420699,-2.630498
2685M,51.463204,-2.6183445
2687M,51.420973,-2.629754
5175M,51.457338,-2.5768856
2688M,51.421289,-2.6294276
2689M,51.421471,-2.6290561
2690M,51.469618,-2.5433954
2691M,51.46627,-2.5344591
2692M,51.468489,-2.5208085
2693M,51.470786,-2.5589869
2152M,51.445287,-2.560546
2153M,51.446738,-2.5579736
2533M,51.476903,-2.6376806
2534M,51.47678,-2.635519
2535M,51.469722,-2.6354497
2536M,51.469299,-2.635487
2537M,51.454392,-2.6184125
5176M,51.457151,-2.5764947
2538M,51.453839,-2.6176422
2540M,51.454679,-2.618661
2541M,51.453635,-2.6169919
2542M,51.454319,-2.6203832
1700M,51.460629,-2.5876218
1702M,51.457437,-2.5766854
1703M,51.448895,-2.6035018
1704M,51.447143,-2.5998525
5177M,51.45776,-2.5768334
5178M,51.457968,-2.5766633
5179M,51.458093,-2.5767512
1705M,51.447005,-2.6003544
1706M,51.451419,-2.5970304
1708M,51.452547,-2.5800489
1710M,51.451177,-2.5789234
3081M,51.476545,-2.628993
5407M,51.456196,-2.5930052
5159M,51.458528,-2.5797217
5160M,51.458542,-2.5787288
5161M,51.458262,-2.5789843
5162M,51.45814,-2.5782919
5163M,51.458065,-2.5787947
5165M,51.457654,-2.5783433
5167M,51.457329,-2.5786702
5169M,51.456961,-2.5784065
5170M,51.456508,-2.5791924
5171M,51.456395,-2.5784425
5172M,51.456394,-2.5768593
5174M,51.457024,-2.5766946
5181M,51.458271,-2.5771421
5182M,51.457675,-2.5758536
5184M,51.457416,-2.5755481
5185M,51.457334,-2.5757198
5186M,51.457427,-2.575174
5187M,51.456834,-2.575109
5188M,51.458222,-2.574378
5189M,51.457329,-2.5731434
5190M,51.457813,-2.5734517
5191M,51.458054,-2.5738577
5192M,51.458074,-2.5734118
5193M,51.458319,-2.5729687
2154M,51.443889,-2.5888601
2155M,51.504842,-2.6537176
3259M,51.457949,-2.6054348
3260M,51.4615,-2.6193578
3261M,51.45339,-2.6123257
3264M,51.458835,-2.5974007
3271M,51.481465,-2.5557046
5454M,51.460055,-2.5998635
3247M,51.468266,-2.5742594
5105M,51.458886,-2.5746454
5152M,51.456369,-2.5799678
5204M,51.456112,-2.5683066
5259M,51.453137,-2.575264
5299M,51.473305,-2.5790308
5322M,51.468915,-2.5777083
5333M,51.462757,-2.6058727
5482M,51.456292,-2.6092701
5352M,51.463048,-2.5929357
5371M,51.460084,-2.5941064
1313M,51.449088,-2.5866821
1314M,51.458266,-2.5837053
1350M,51.456523,-2.599443
1351M,51.456116,-2.599855
1661M,51.460638,-2.5930197
1662M,51.460593,-2.5930623
1663M,51.460308,-2.5925116
1664M,51.460326,-2.592483
1748M,51.497964,-2.6502194
1749M,51.507212,-2.6526565
1711M,51.452657,-2.5796905
3048M,51.438715,-2.6021159
3049M,51.40868,-2.5990613
5297M,51.473885,-2.5781167
5300M,51.474218,-2.5779913
5301M,51.474425,-2.5779651
5302M,51.474798,-2.5772355
5304M,51.473485,-2.5735187
5305M,51.473912,-2.5689022
5309M,51.472268,-2.5813789
5310M,51.472903,-2.5803503
5311M,51.471869,-2.5785519
5312M,65.594956,-2.8714523
5321M,51.469333,-2.578635
5317M,51.469644,-2.5810432
5318M,51.469859,-2.5794767
5323M,51.467886,-2.5765868
5324M,51.46948,-2.5761462
5326M,51.466754,-2.5926671
5327M,51.46624,-2.5912496
5328M,51.467172,-2.5899661
5329M,51.465672,-2.5897164
5330M,51.467189,-2.5883395
5331M,51.461352,-2.6080852
5332M,51.464003,-2.6083364
5337M,51.461705,-2.6041315
5440M,51.458547,-2.588689
5194M,51.458653,-2.5726994
5195M,51.458343,-2.5717743
5197M,51.456467,-2.5709737
5201M,51.457468,-2.5686113
5202M,51.45841,-2.5689973
5203M,51.457864,-2.5685155
5205M,51.454676,-2.5858903
5206M,51.454588,-2.5855437
5207M,51.45456,-2.5857592
5208M,51.454256,-2.5853668
5209M,51.454094,-2.5855086
5210M,51.454115,-2.5848325
5212M,51.452997,-2.5837244
5213M,51.453598,-2.5840055
5214M,51.453695,-2.584237
5215M,51.453664,-2.5832868
5216M,51.454127,-2.5842282
5217M,51.454237,-2.5837834
5218M,51.454588,-2.5836872
5220M,51.454773,-2.5827684
5224M,51.453883,-2.5861967
5225M,51.454044,-2.5864435
5226M,51.454288,-2.5862019
5227M,51.454665,-2.5863651
5228M,51.455377,-2.5877271
5229M,51.455374,-2.5866044
5232M,51.455367,-2.5862157
5234M,51.454641,-2.5803921
5235M,51.455624,-2.5851252
2756M,51.468202,-2.6134741
3114M,51.428436,-2.6127399
2519M,51.49412,-2.6543132
2520M,51.493445,-2.6545484
2521M,51.494827,-2.6353667
2522M,51.494697,-2.6244605
2523M,51.492394,-2.6574141
5009M,51.46597,-2.5803631
2524M,51.490127,-2.6447787
2525M,51.491123,-2.6269611
2526M,51.490148,-2.6242543
2527M,51.487679,-2.6319259
2528M,51.492895,-2.6234276
2530M,51.48671,-2.6316245
1750M,51.497657,-2.6504743
1812M,51.46043,-2.5431135
1814M,51.452905,-2.5468235
1817M,51.452958,-2.5353109
5010M,51.465536,-2.5808182
5011M,51.466338,-2.5769128
1818M,51.453075,-2.5469407
1819M,51.434671,-2.5466776
1820M,51.429274,-2.5392341
1822M,51.469642,-2.5183166
5339M,51.461436,-2.5988309
5340M,51.461599,-2.5986027
3231M,51.530836,-2.6697603
3232M,51.530177,-2.6669251
3233M,51.518929,-2.6871542
5000M,51.466516,-2.5899144
5001M,51.465029,-2.5906582
5003M,51.466791,-2.5870964
5005M,51.466208,-2.5868442
5006M,51.466216,-2.5852607
5007M,51.467292,-2.5839501
5008M,51.466684,-2.5833233
5012M,51.466111,-2.5755135
5013M,51.466826,-2.57463
5014M,51.465209,-2.574293
5015M,51.465304,-2.5732577
5017M,51.46574,-2.5741413
5019M,51.466042,-2.5731806
5020M,51.466424,-2.5739627
5021M,51.466363,-2.573746
5022M,51.467002,-2.5735525
5023M,51.467017,-2.5740422
2572M,51.485624,-2.5432833
2573M,51.483843,-2.5454079
2575M,51.483614,-2.5462548
2577M,51.506527,-2.6299534
2578M,51.481871,-2.5282476
2579M,51.485152,-2.5325484
2580M,51.484799,-2.5329476
2020M,51.453488,-2.6260998
1243M,51.460776,-2.5977571
2531M,51.482184,-2.6254992
2532M,51.482272,-2.6326
1957M,51.451941,-2.6210705
863M,51.455559,-2.5873264
864M,51.45556,-2.5872688
866M,51.456606,-2.6008546
686M,51.455973,-2.5961543
687M,51.455732,-2.5797726
688M,51.453249,-2.587268
689M,51.449544,-2.590818
68M,51.456068,-2.5880094
690M,51.450273,-2.5888991
1823M,51.4883,-2.6167253
3019M,51.464212,-2.6216978
3157M,51.502986,-2.6178024
3168M,51.467775,-2.5952572
3169M,51.434733,-2.5486204
3171M,51.466091,-2.590384
1306M,51.456771,-2.5877881
3174M,51.500525,-2.7019465
3175M,51.498952,-2.6974853
2776M,51.485231,-2.5892631
2777M,51.484236,-2.5939739
2778M,51.485185,-2.5929349
2779M,51.442573,-2.6141521
2780M,51.442272,-2.6148243
2781M,51.489715,-2.6856777
2783M,51.432725,-2.6110998
2785M,51.433333,-2.6099571
2565M,51.462893,-2.6038737
2543M,51.419549,-2.5743243
2544M,51.462047,-2.6162417
2545M,51.502939,-2.7072711
2548M,51.464533,-2.5963091
3002M,51.536537,-2.6664846
3003M,51.439534,-2.5449804
3005M,51.439198,-2.545667
3006M,51.439019,-2.545521
3007M,51.43872,-2.545949
778M,51.454552,-2.5962078
1824M,51.499136,-2.6496598
77M,51.44612,-2.590486
780M,51.448234,-2.5939669
1871M,51.506145,-2.65048
1872M,51.483658,-2.6835707
1873M,51.503333,-2.7015863
1875M,51.478183,-2.534584
1876M,51.501897,-2.6381735
1877M,51.499638,-2.6451434
1878M,51.492405,-2.5822977
1880M,51.506891,-2.6457358
1881M,51.479781,-2.6207287
3176M,51.499329,-2.6960504
1826M,51.494408,-2.6380689
3177M,51.500705,-2.7020501
3178M,51.500391,-2.6973344
3179M,51.500373,-2.6972909
2562M,51.46275,-2.5372249
2563M,51.462898,-2.5441504
1999M,51.443849,-2.614198
2000M,51.442588,-2.6008432
2002M,51.442783,-2.5943278
2003M,51.442074,-2.5923043
2005M,51.471389,-2.643017
2567M,51.483106,-2.5394083
1713M,51.453375,-2.5780877
1714M,51.453361,-2.5773824
1715M,51.453415,-2.5772679
1716M,51.450114,-2.6059355
1717M,51.453303,-2.6030995
1719M,51.453392,-2.6032445
1721M,51.447199,-2.5921979
2757M,51.467956,-2.6123623
2758M,51.465025,-2.5842522
2759M,51.465486,-2.5854385
5381M,51.459049,-2.5924377
2760M,51.464423,-2.58233
2761M,51.464378,-2.5822718
2762M,51.50067,-2.6957827
2764M,51.426043,-2.6147071
2766M,51.451789,-2.6125201
2767M,51.432142,-2.5642402
1844M,51.468766,-2.5391527
1882M,51.494148,-2.6159976
1883M,51.506431,-2.6310327
1885M,51.457142,-2.6271429
1886M,51.426403,-2.5533821
3115M,51.427013,-2.6132386
3116M,51.426867,-2.6135387
3117M,51.440066,-2.5522812
3118M,51.439461,-2.551051
3119M,51.471027,-2.5832923
2006M,51.508369,-2.7045455
2007M,51.510322,-2.7057284
2008M,51.483659,-2.6834267
2009M,51.481599,-2.6834679
2010M,51.481,-2.6767627
